No.       freqHz          detadB
548         26900000000.0         111.00
549         26950000000.0         112.00
550         27000000000.0         112.00
551         27050000000.0         111.00
552         27100000000.0         111.00
553         27150000000.0         111.00
554         27200000000.0         111.00
555         27250000000.0         111.00
556         27300000000.0         111.00
557         27350000000.0         111.00
558         27400000000.0         111.00
559         27450000000.0         111.00
560         27500000000.0         111.00
561         27550000000.0         111.00
562         27600000000.0         111.00
563         27650000000.0         111.00
564         27700000000.0         112.00
565         27750000000.0         111.00
566         27800000000.0         111.00
567         27833750000.0         111.00
568         27833750000.1         111.00
569         27883750000.0         111.00
570         27933750000.0         111.00
571         27983750000.0         111.00
572         28033750000.0         112.00
573         28083750000.0         112.00
574         28133750000.0         111.00
575         28183750000.0         112.00
576         28233750000.0         111.00
577         28283750000.0         111.00
578         28333750000.0         111.00
579         28383750000.0         111.00
580         28433750000.0         111.00
581         28483750000.0         112.00
582         28533750000.0         111.00
583         28583750000.0         112.00
584         28633750000.0         111.00
585         28683750000.0         112.00
586         28733750000.0         111.00
587         28783750000.0         111.00
588         28833750000.0         112.00
589         28883750000.0         111.00
590         28933750000.0         111.00
591         28983750000.0         112.00
592         29033750000.0         111.00
593         29083750000.0         111.00
594         29133750000.0         111.00
595         29183750000.0         112.00
596         29233750000.0         111.00
597         29283750000.0         111.00
598         29333750000.0         111.00
599         29383750000.0         111.00
600         29433750000.0         112.00
601         29483750000.0         112.00
602         29500000000.0         111.00
603         29500000000.1         111.00
604         29550000000.0         111.00
605         29600000000.0         111.00
606         29650000000.0         111.00
607         29700000000.0         111.00
608         29750000000.0         111.00
609         29800000000.0         111.00
610         29850000000.0         111.00
611         29900000000.0         111.00
612         29950000000.0         111.00
613         30000000000.0         111.00
614         30050000000.0         111.00
615         30100000000.0         112.00
616         30150000000.0         111.00
617         30200000000.0         111.00
618         30250000000.0         111.00
619         30300000000.0         111.00
620         30350000000.0         111.00
621         30400000000.0         111.00
622         30450000000.0         111.00
623         30500000000.0         111.00
624         30550000000.0         111.00
625         30600000000.0         111.00
626         30650000000.0         111.00
627         30700000000.0         111.00
628         30750000000.0         111.00
629         30800000000.0         111.00
630         30850000000.0         110.00
631         30900000000.0         111.00
632         30950000000.0         111.00
633         31000000000.0         112.00
634         31050000000.0         111.00
635         31100000000.0         112.00
636         31150000000.0         111.00
637         31200000000.0         111.00
638         31250000000.0         111.00
639         31300000000.0         112.00
640         31350000000.0         112.00
641         31400000000.0         111.00
642         31450000000.0         111.00
643         31500000000.0         111.00
644         31550000000.0         111.00
645         31600000000.0         111.00
646         31650000000.0         111.00
647         31700000000.0         111.00
648         31750000000.0         111.00
649         31800000000.0         111.00
650         31850000000.0         112.00
651         31900000000.0         112.00
652         31950000000.0         111.00
653         32000000000.0         111.00
654         50000000.0         166.00
655         100000000.0         166.00
656         150000000.0         166.00
657         200000000.0         166.00
658         250000000.0         166.00
659         300000000.0         165.00
660         350000000.0         164.00
661         400000000.0         162.00
662         450000000.0         163.00
663         500000000.0         163.00
664         550000000.0         164.00
665         600000000.0         164.00
666         650000000.0         165.00
667         700000000.0         165.00
668         750000000.0         165.00
669         800000000.0         165.00
670         850000000.0         164.00
671         900000000.0         164.00
672         950000000.0         164.00
673         1000000000.0         164.00
674         1050000000.0         164.00
675         1100000000.0         164.00
676         1150000000.0         164.00
677         1200000000.0         163.00
678         1250000000.0         163.00
679         1300000000.0         163.00
680         1350000000.0         163.00
681         1366250000.0         163.00
682         1366250000.1         163.00
683         1416250000.0         163.00
684         1466250000.0         163.00
685         1516250000.0         162.00
686         1566250000.0         162.00
687         1616250000.0         162.00
688         1666250000.0         162.00
689         1716250000.0         162.00
690         1766250000.0         162.00
691         1816250000.0         162.00
692         1866250000.0         161.00
693         1916250000.0         161.00
694         1966250000.0         161.00
695         2016250000.0         161.00
696         2066250000.0         161.00
697         2116250000.0         161.00
698         2166250000.0         160.00
699         2216250000.0         160.00
700         2266250000.0         159.00
701         2316250000.0         159.00
702         2366250000.0         159.00
703         2416250000.0         159.00
704         2466250000.0         159.00
705         2516250000.0         159.00
706         2566250000.0         158.00
707         2600000000.0         158.00
708         2600000000.1         164.00
709         2650000000.0         164.00
710         2700000000.0         164.00
711         2750000000.0         164.00
712         2800000000.0         164.00
713         2850000000.0         164.00
714         2900000000.0         164.00
715         2950000000.0         164.00
716         3000000000.0         164.00
717         3050000000.0         164.00
718         3100000000.0         164.00
719         3150000000.0         164.00
720         3200000000.0         164.00
721         3250000000.0         164.00
722         3300000000.0         164.00
723         3350000000.0         164.00
724         3400000000.0         164.00
725         3450000000.0         163.00
726         3500000000.0         163.00
727         3550000000.0         163.00
728         3600000000.0         163.00
729         3650000000.0         163.00
730         3700000000.0         163.00
731         3750000000.0         163.00
732         3800000000.0         163.00
733         3850000000.0         162.00
734         3900000000.0         162.00
735         3950000000.0         162.00
736         4000000000.0         162.00
737         4050000000.0         162.00
738         4100000000.0         162.00
739         4150000000.0         162.00
740         4200000000.0         162.00
741         4250000000.0         162.00
742         4300000000.0         162.00
743         4350000000.0         162.00
744         4400000000.0         162.00
745         4450000000.0         161.00
746         4500000000.0         161.00
747         4550000000.0         161.00
748         4600000000.0         161.00
749         4650000000.0         160.00
750         4700000000.0         160.00
751         4750000000.0         160.00
752         4800000000.0         160.00
753         4850000000.0         160.00
754         4900000000.0         159.00
755         4950000000.0         159.00
756         5000000000.0         159.00
757         5050000000.0         159.00
758         5100000000.0         159.00
759         5150000000.0         159.00
760         5200000000.0         159.00
761         5250000000.0         159.00
762         5300000000.0         159.00
763         5350000000.0         159.00
764         5400000000.0         158.00
765         5450000000.0         158.00
766         5500000000.0         158.00
767         5550000000.0         158.00
768         5600000000.0         158.00
769         5650000000.0         157.00
770         5700000000.0         157.00
771         5750000000.0         157.00
772         5800000000.0         157.00
773         5850000000.0         157.00
774         5900000000.0         157.00
775         5950000000.0         157.00
776         6000000000.0         157.00
777         6050000000.0         157.00
778         6100000000.0         157.00
779         6150000000.0         157.00
780         6200000000.0         157.00
781         6250000000.0         156.00
782         6300000000.0         156.00
783         6350000000.0         156.00
784         6400000000.0         156.00
785         6450000000.0         156.00
786         6500000000.0         156.00
787         6550000000.0         156.00
788         6600000000.0         156.00
789         6650000000.0         156.00
790         6700000000.0         156.00
791         6750000000.0         155.00
792         6800000000.0         155.00
793         6850000000.0         155.00
794         6900000000.0         154.00
795         6950000000.0         153.00
796         7000000000.0         153.00
797         7050000000.0         153.00
798         7100000000.0         152.00
799         7150000000.0         152.00
800         7200000000.0         152.00
801         7250000000.0         152.00
802         7300000000.0         151.00
803         7350000000.0         151.00
804         7400000000.0         151.00
805         7450000000.0         151.00
806         7500000000.0         151.00
807         7500000000.1         175.00
808         7550000000.0         175.00
809         7600000000.0         175.00
810         7650000000.0         175.00
811         7700000000.0         178.00
812         7750000000.0         177.00
813         7800000000.0         178.00
814         7850000000.0         178.00
815         7900000000.0         178.00
816         7950000000.0         175.00
817         8000000000.0         178.00
818         8050000000.0         176.00
819         8100000000.0         178.00
820         8150000000.0         178.00
821         8200000000.0         178.00
822         8250000000.0         178.00
823         8300000000.0         175.00
824         8350000000.0         178.00
825         8400000000.0         175.00
826         8450000000.0         178.00
827         8500000000.0         178.00
828         8550000000.0         178.00
829         8600000000.0         177.00
830         8650000000.0         175.00
831         8700000000.0         178.00
832         8750000000.0         178.00
833         8800000000.0         175.00
834         8850000000.0         178.00
835         8900000000.0         177.00
836         8950000000.0         177.00
837         9000000000.0         177.00
838         9050000000.0         177.00
839         9100000000.0         177.00
840         9150000000.0         177.00
841         9200000000.0         177.00
842         9250000000.0         175.00
843         9300000000.0         178.00
844         9350000000.0         178.00
845         9400000000.0         176.00
846         9450000000.0         177.00
847         9500000000.0         177.00
848         9500000000.1         175.00
849         9550000000.0         175.00
850         9600000000.0         175.00
851         9650000000.0         178.00
852         9700000000.0         175.00
853         9750000000.0         178.00
854         9800000000.0         178.00
855         9850000000.0         178.00
856         9900000000.0         178.00
857         9950000000.0         175.00
858         10000000000.0         178.00
859         10050000000.0         178.00
860         10100000000.0         177.00
861         10150000000.0         175.00
862         10200000000.0         178.00
863         10250000000.0         175.00
864         10300000000.0         178.00
865         10350000000.0         178.00
866         10400000000.0         178.00
867         10450000000.0         178.00
868         10500000000.0         176.00
869         10550000000.0         176.00
870         10600000000.0         176.00
871         10650000000.0         176.00
872         10700000000.0         178.00
873         10750000000.0         178.00
874         10800000000.0         177.00
875         10850000000.0         176.00
876         10900000000.0         175.00
877         10950000000.0         176.00
878         11000000000.0         176.00
879         11050000000.0         176.00
880         11100000000.0         174.00
881         11150000000.0         175.00
882         11200000000.0         176.00
883         11250000000.0         177.00
884         11300000000.0         177.00
885         11350000000.0         178.00
886         11400000000.0         176.00
887         11450000000.0         178.00
888         11500000000.0         178.00
889         11550000000.0         175.00
890         11600000000.0         175.00
891         11650000000.0         178.00
892         11700000000.0         178.00
893         11750000000.0         178.00
894         11800000000.0         178.00
895         11850000000.0         178.00
896         11900000000.0         178.00
897         11950000000.0         178.00
898         12000000000.0         178.00
899         12050000000.0         178.00
900         12100000000.0         178.00
901         12150000000.0         178.00
902         12200000000.0         178.00
903         12250000000.0         178.00
904         12300000000.0         177.00
905         12300000000.1         176.00
906         12350000000.0         175.00
907         12400000000.0         175.00
908         12450000000.0         175.00
909         12500000000.0         173.00
910         12550000000.0         172.00
911         12600000000.0         169.00
912         12650000000.0         167.00
913         12700000000.0         170.00
914         12750000000.0         172.00
915         12800000000.0         174.00
916         12850000000.0         174.00
917         12900000000.0         173.00
918         12950000000.0         174.00
919         13000000000.0         175.00
920         13050000000.0         175.00
921         13100000000.0         174.00
922         13150000000.0         174.00
923         13200000000.0         173.00
924         13250000000.0         173.00
925         13300000000.0         172.00
926         13350000000.0         171.00
927         13400000000.0         169.00
928         13450000000.0         163.00
929         13500000000.0         156.00
930         13550000000.0         159.00
931         13600000000.0         163.00
932         13650000000.0         167.00
933         13700000000.0         169.00
934         13750000000.0         170.00
935         13800000000.0         172.00
936         13850000000.0         172.00
937         13900000000.0         172.00
938         13950000000.0         172.00
939         14000000000.0         172.00
940         14050000000.0         172.00
941         14100000000.0         172.00
942         14150000000.0         172.00
943         14200000000.0         171.00
944         14250000000.0         170.00
945         14300000000.0         170.00
946         14350000000.0         169.00
947         14400000000.0         168.00
948         14450000000.0         168.00
949         14500000000.0         169.00
950         14550000000.0         169.00
951         14600000000.0         167.00
952         14650000000.0         169.00
953         14700000000.0         170.00
954         14750000000.0         170.00
955         14800000000.0         170.00
956         14850000000.0         170.00
957         14900000000.0         170.00
958         14950000000.0         169.00
959         15000000000.0         169.00
960         15050000000.0         169.00
961         15100000000.0         167.00
962         15150000000.0         167.00
963         15200000000.0         167.00
964         15250000000.0         167.00
965         15300000000.0         167.00
966         15350000000.0         167.00
967         15400000000.0         167.00
968         15450000000.0         167.00
969         15500000000.0         167.00
970         15550000000.0         167.00
971         15600000000.0         168.00
972         15650000000.0         168.00
973         15700000000.0         167.00
974         15700000000.1         165.00
975         15750000000.0         163.00
976         15800000000.0         163.00
977         15850000000.0         163.00
978         15900000000.0         162.00
979         15950000000.0         162.00
980         16000000000.0         162.00
981         16050000000.0         161.00
982         16100000000.0         161.00
983         16150000000.0         161.00
984         16200000000.0         160.00
985         16250000000.0         155.00
986         16300000000.0         155.00
987         16300000000.1         167.00
988         16350000000.0         167.00
989         16400000000.0         167.00
990         16450000000.0         167.00
991         16500000000.0         167.00
992         16550000000.0         165.00
993         16600000000.0         165.00
994         16650000000.0         165.00
995         16700000000.0         166.00
996         16750000000.0         165.00
997         16800000000.0         165.00
998         16850000000.0         165.00
999         16900000000.0         165.00
1000         16950000000.0         165.00
1001         17000000000.0         164.00
1002         17050000000.0         164.00
1003         17100000000.0         164.00
1004         17150000000.0         163.00
1005         17200000000.0         162.00
1006         17250000000.0         162.00
